Model	BS	jsma_theta10_gamma30	jsma_theta10_gamma70	jsma_theta30_gamma50	jsma_theta50_gamma50	fgsm_eps5	fgsm_eps10	fgsm_eps50	fgsm_eps100	fgsm_eps250	fgsm_eps300	bim_ord2_nbIter100_eps100	bim_ord2_nbIter100_eps250	bim_ord2_nbIter100_eps500	bim_ord2_nbIter100_eps1000	bim_ordinf_nbIter100_eps5	bim_ordinf_nbIter100_eps10	bim_ordinf_nbIter100_eps50	bim_ordinf_nbIter100_eps100	bim_ordinf_nbIter100_eps250	bim_ordinf_nbIter100_eps500
noise_salt	0.9804	0.182	0.1246	0.4751	0.7845	0.347	0.3518	0.3411	0.334	0.3271	0.3162	0.2991	0.2947	0.2904	0.2684	0.3096	0.2954	0.3327	0.2627	0.1943	0.1688
noise_speckle	0.9771	0.1312	0.1174	0.2181	0.4008	0.1006	0.1001	0.0973	0.0959	0.0946	0.0931	0.0976	0.0956	0.0899	0.0834	0.0987	0.0931	0.0915	0.086	0.0741	0.0697
noise_s&p	0.9777	0.1925	0.1367	0.4095	0.7078	0.3822	0.3809	0.3707	0.3568	0.3368	0.3301	0.3069	0.2885	0.2796	0.2488	0.3137	0.2885	0.313	0.2433	0.1609	0.1382
opening	0.7896	0.4925	0.4291	0.4847	0.5541	0.8239	0.8339	0.7258	0.5677	0.3922	0.3616	0.7884	0.73	0.6322	0.4543	0.8118	0.8104	0.7167	0.4731	0.2283	0.1356
quant_4_clusters	0.9767	0.1322	0.1056	0.2392	0.4614	0.1089	0.1083	0.1073	0.1052	0.1041	0.104	0.1067	0.1048	0.1033	0.1013	0.1152	0.1102	0.112	0.1023	0.096	0.0969
rank_filter	0.9367	0.8233	0.8397	0.6454	0.641	0.9365	0.9339	0.8144	0.5929	0.237	0.1799	0.9344	0.9307	0.9176	0.8791	0.9365	0.9333	0.8368	0.6811	0.3039	0.1139
rotate180	0.9052	0.6573	0.6162	0.344	0.3205	0.9039	0.9013	0.768	0.5213	0.1891	0.1652	0.8988	0.8838	0.8309	0.6854	0.9048	0.9008	0.7803	0.5527	0.1955	0.0849
rotate270	0.8883	0.756	0.7064	0.3952	0.345	0.9012	0.9084	0.8396	0.6015	0.2052	0.1704	0.8967	0.9003	0.8731	0.7453	0.8993	0.9043	0.8381	0.6085	0.2016	0.0951
rotate90	0.8898	0.7139	0.67	0.4252	0.403	0.8877	0.884	0.7869	0.6153	0.272	0.2203	0.8792	0.8574	0.8088	0.693	0.8857	0.8805	0.7797	0.5982	0.2219	0.0763
shift_bottom_left	0.7582	0.4708	0.4297	0.2535	0.2427	0.7556	0.751	0.6234	0.4644	0.2271	0.1986	0.7432	0.7075	0.6447	0.5266	0.7526	0.7441	0.6216	0.4567	0.2121	0.0883
shift_bottom_right	0.9235	0.7499	0.6583	0.4287	0.3636	0.9158	0.9085	0.7975	0.6239	0.3081	0.2608	0.9111	0.8884	0.835	0.6883	0.9145	0.9063	0.7924	0.6024	0.2727	0.1118
shift_down	0.8175	0.5589	0.5098	0.2341	0.2055	0.8115	0.803	0.6808	0.4794	0.2314	0.2003	0.8055	0.7789	0.7161	0.5699	0.8104	0.8017	0.6916	0.4882	0.2054	0.0865
shift_left	0.8618	0.5584	0.5155	0.2501	0.2375	0.8606	0.8525	0.6833	0.4283	0.1733	0.1527	0.8466	0.8117	0.7227	0.5582	0.8585	0.8487	0.6715	0.4322	0.1685	0.0899
shift_right	0.7824	0.5521	0.521	0.3125	0.2754	0.7771	0.7695	0.6236	0.4449	0.1343	0.1184	0.7665	0.7289	0.6445	0.5187	0.7757	0.7638	0.6167	0.4436	0.1607	0.0868
shift_top_left	0.8969	0.4697	0.411	0.1874	0.2016	0.8937	0.8837	0.6703	0.39	0.148	0.1336	0.8874	0.8567	0.7713	0.585	0.8923	0.8815	0.6655	0.3991	0.1551	0.0893
shift_top_right	0.9214	0.7966	0.7887	0.5378	0.491	0.9219	0.9186	0.8126	0.5717	0.2155	0.1768	0.918	0.9034	0.8527	0.7275	0.9205	0.9162	0.8035	0.5907	0.2334	0.0933
shift_up	0.8571	0.6192	0.5659	0.244	0.2278	0.8508	0.8437	0.7402	0.5368	0.1919	0.1598	0.8453	0.8209	0.7711	0.6491	0.8503	0.8417	0.7301	0.5159	0.1734	0.0609
vertical_flip	0.8999	0.7601	0.7352	0.4046	0.3688	0.8954	0.8896	0.7863	0.5351	0.1981	0.1575	0.8898	0.8708	0.8247	0.6813	0.895	0.8883	0.781	0.5383	0.1612	0.0483
